Date,NC12,NC12s v2,NC12s v3,NC24,NC24r,NC24rs v2,NC24rs v3,NC24s v2,NC24s v3,NC6,NC6s v2,NC6s v3
2/24/2020,$0.23778,,,$0.47556,$0.52312,,,,,$0.11889,,
2/25/2020,$0.23778,,,$0.47556,$0.52312,,,,,$0.11889,,
2/26/2020,$0.23778,,,$0.47556,$0.52312,,,,,$0.11889,,
2/27/2020,$0.23778,,,$0.47556,$0.52312,,,,,$0.11889,,
2/28/2020,$0.23778,,,$0.47556,$0.52312,,,,,$0.11889,,
2/29/2020,$0.23778,,,$0.47556,$0.52312,,,,,$0.11889,,
3/1/2020,$0.23778,,,$0.47556,$0.52312,,,,,$0.11889,,
3/2/2020,$0.23778,,,$0.47556,$0.52312,,,,,$0.11889,,
3/3/2020,$0.23778,,,$0.47556,$0.52312,,,,,$0.11889,,
3/4/2020,$0.23778,,,$0.47556,$0.52312,,,,,$0.11889,,
3/5/2020,$0.23778,,,$0.47556,$0.52312,,,,,$0.11889,,
3/6/2020,$0.23778,,,$0.47556,$0.52312,,,,,$0.11889,,
3/7/2020,$0.23778,,,$0.47556,$0.52312,,,,,$0.11889,,
3/8/2020,$0.23778,,,$0.47556,$0.52312,,,,,$0.11889,,
3/9/2020,$0.23778,,,$0.47556,$0.52312,,,,,$0.11889,,
3/10/2020,$0.23778,,,$0.47556,$0.52312,,,,,$0.11889,,
3/11/2020,$0.23778,,,$0.47556,$0.52312,,,,,$0.11889,,
3/12/2020,$0.23778,,,$0.47556,$0.52312,,,,,$0.11889,,
3/13/2020,$0.23778,,,$0.47556,$0.52312,,,,,$0.11889,,
3/14/2020,$0.23778,,,$0.47556,$0.52312,,,,,$0.11889,,
3/15/2020,$0.23778,,,$0.47556,$0.52312,,,,,$0.11889,,
3/16/2020,$0.23778,,,$0.47556,$0.52312,,,,,$0.11889,,
3/17/2020,$0.23778,,,$0.47556,$0.52312,,,,,$0.11889,,
3/18/2020,$0.23778,,,$0.47556,$0.52312,,,,,$0.11889,,
3/19/2020,$0.23778,,,$0.47556,$0.52312,,,,,$0.11889,,
3/20/2020,$0.23778,,,$0.47556,$0.52312,,,,,$0.11889,,
3/21/2020,$0.23778,,,$0.47556,$0.52312,,,,,$0.11889,,
3/22/2020,$0.23778,,,$0.47556,$0.52312,,,,,$0.11889,,
3/23/2020,$0.23778,,,$0.47556,$0.52312,,,,,$0.11889,,
