Date,NC12,NC12s v2,NC12s v3,NC24,NC24r,NC24rs v2,NC24rs v3,NC24s v2,NC24s v3,NC6,NC6s v2,NC6s v3
2/24/2020,$0.43200,$0.71042,$1.33698,$0.98971,$1.08868,$1.56299,$2.94135,$1.42085,$2.67395,$0.21600,$0.35521,$0.66849
2/25/2020,$0.43200,$0.71042,$1.33698,$0.98971,$1.08868,$1.56299,$2.94135,$1.42085,$2.67395,$0.21600,$0.35521,$0.66849
2/26/2020,$0.43200,$0.99360,$1.33698,$0.98971,$1.08868,$2.18600,$2.94135,$9.93600,$2.67395,$0.21600,$0.49680,$0.66849
2/27/2020,$0.43200,$0.99360,$1.33698,$0.98971,$1.08868,$2.18600,$2.94135,$1.98720,$2.67395,$0.21600,$0.49680,$0.66849
2/28/2020,$0.43200,$0.99360,$1.33698,$0.98971,$1.08868,$2.18600,$2.94135,$1.98720,$2.67395,$0.21600,$0.49680,$0.66849
2/29/2020,$0.43200,$0.99360,$1.33698,$0.98971,$1.08868,$2.18600,$2.94135,$1.98720,$2.67395,$0.21600,$0.49680,$0.66849
3/1/2020,$0.43200,$0.71042,$1.33698,$0.98971,$1.08868,$1.56299,$2.94135,$1.42085,$2.67395,$0.21600,$0.35521,$0.66849
3/2/2020,$0.43200,$0.64832,$1.33698,$0.61646,$0.67811,$1.56299,$2.94135,$1.42085,$2.67395,$0.21600,$0.35521,$0.66849
3/3/2020,$0.30823,$0.64832,$1.33698,$0.61646,$0.67811,$1.42637,$2.94135,$1.29665,$2.67395,$0.15412,$0.32416,$0.66849
3/4/2020,$0.30823,$0.64832,$1.33698,$0.61646,$0.67811,$1.42637,$2.94135,$1.29665,$2.67395,$0.15412,$0.32416,$0.66849
3/5/2020,$0.30823,$0.64832,$1.33698,$0.61646,$0.67811,$1.42637,$2.94135,$1.29665,$2.67395,$0.15412,$0.32416,$0.66849
3/6/2020,$0.30823,$0.64832,$1.33698,$0.61646,$0.67811,$1.42637,$2.94135,$1.29665,$2.67395,$0.15412,$0.32416,$0.66849
3/7/2020,$0.30823,$0.64832,$1.33698,$0.61646,$0.67811,$1.42637,$2.94135,$1.29665,$2.67395,$0.15412,$0.32416,$0.66849
3/8/2020,$0.30823,$0.64832,$1.33698,$0.61646,$0.67811,$1.42637,$2.94135,$1.29665,$2.67395,$0.15412,$0.32416,$0.66849
3/9/2020,$0.30823,$0.64832,$1.33698,$0.61646,$0.67811,$1.42637,$2.94135,$1.29665,$2.67395,$0.15412,$0.32416,$0.66849
3/10/2020,$0.30823,$0.64832,$1.33698,$0.61646,$0.67811,$1.42637,$2.94135,$1.29665,$2.67395,$0.15412,$0.32416,$0.66849
3/11/2020,$0.43200,$0.99360,$1.33698,$0.98971,$1.08868,$2.18600,$2.94135,$1.98720,$2.67395,$0.21600,$0.49680,$0.66849
3/12/2020,$0.43200,$0.71042,$1.33698,$0.98971,$1.08868,$1.56299,$2.94135,$1.42085,$2.67395,$0.21600,$0.35521,$0.66849
3/13/2020,$0.43200,$0.71042,$1.33698,$0.98971,$1.08868,$1.56299,$2.94135,$1.42085,$2.67395,$0.21600,$0.35521,$0.66849
3/14/2020,$0.30823,$0.64832,$1.33698,$0.61646,$0.67811,$1.42637,$2.94135,$1.29665,$2.67395,$0.15412,$0.32416,$0.66849
3/15/2020,$0.30823,$0.64832,$1.33698,$0.61646,$0.67811,$1.42637,$2.94135,$1.29665,$2.67395,$0.15412,$0.32416,$0.66849
3/16/2020,$0.30823,$0.64832,$1.33698,$0.61646,$0.67811,$1.42637,$2.94135,$1.29665,$2.67395,$0.15412,$0.32416,$0.66849
3/17/2020,$0.30823,$0.64832,$1.33698,$0.61646,$0.67811,$1.42637,$2.94135,$1.29665,$2.67395,$0.15412,$0.32416,$0.66849
3/18/2020,$0.30823,$0.64832,$1.33698,$0.61646,$0.67811,$1.42637,$2.94135,$1.29665,$2.67395,$0.15412,$0.32416,$0.66849
3/19/2020,$0.43200,$0.71042,$1.33698,$0.98971,$1.08868,$1.56299,$2.94135,$1.42085,$2.67395,$0.21600,$0.35521,$0.66849
3/20/2020,$0.30823,$0.64832,$1.33698,$0.61646,$0.67811,$1.42637,$2.94135,$1.29665,$2.67395,$0.15412,$0.32416,$0.66849
3/21/2020,$0.43200,$0.99360,$1.33698,$0.98971,$1.08868,$2.18600,$2.94135,$1.98720,$2.67395,$0.21600,$0.49680,$0.66849
3/22/2020,$0.43200,$0.99360,$1.33698,$0.98971,$1.08868,$2.18600,$2.94135,$1.98720,$2.67395,$0.21600,$0.49680,$0.66849
3/23/2020,$0.30823,$0.64832,$1.33698,$0.61646,$0.67811,$1.42637,$2.94135,$1.29665,$2.67395,$0.15412,$0.32416,$0.66849
