Zone: us-west1-b, GPU type: nvidia-tesla-v100, Number of GPUs: 1, Price per hour: $0.851
Zone: us-west1-b, GPU type: nvidia-tesla-v100, Number of GPUs: 2, Price per hour: $1.702
Zone: us-west1-b, GPU type: nvidia-tesla-v100, Number of GPUs: 4, Price per hour: $3.404
Zone: us-west1-b, GPU type: nvidia-tesla-v100, Number of GPUs: 8, Price per hour: $6.808
Zone: us-west1-b, GPU type: nvidia-tesla-p100, Number of GPUs: 1, Price per hour: $0.494
Zone: us-west1-b, GPU type: nvidia-tesla-p100, Number of GPUs: 2, Price per hour: $0.989
Zone: us-west1-b, GPU type: nvidia-tesla-p100, Number of GPUs: 4, Price per hour: $1.978
Zone: us-west1-b, GPU type: nvidia-tesla-k80, Number of GPUs: 1, Price per hour: $0.155
Zone: us-west1-a, GPU type: nvidia-tesla-v100, Number of GPUs: 1, Price per hour: $0.851
Zone: us-west1-a, GPU type: nvidia-tesla-v100, Number of GPUs: 2, Price per hour: $1.702
Zone: us-west1-a, GPU type: nvidia-tesla-v100, Number of GPUs: 4, Price per hour: $3.404
Zone: us-west1-a, GPU type: nvidia-tesla-v100, Number of GPUs: 8, Price per hour: $6.808
Zone: us-west1-a, GPU type: nvidia-tesla-p100, Number of GPUs: 1, Price per hour: $0.494
Zone: us-west1-a, GPU type: nvidia-tesla-p100, Number of GPUs: 2, Price per hour: $0.989
Zone: us-west1-a, GPU type: nvidia-tesla-p100, Number of GPUs: 4, Price per hour: $1.978
Zone: us-east1-c, GPU type: nvidia-tesla-p100, Number of GPUs: 1, Price per hour: $0.494
Zone: us-east1-c, GPU type: nvidia-tesla-p100, Number of GPUs: 2, Price per hour: $0.989
Zone: us-east1-c, GPU type: nvidia-tesla-p100, Number of GPUs: 4, Price per hour: $1.978
Zone: us-east1-c, GPU type: nvidia-tesla-k80, Number of GPUs: 1, Price per hour: $0.155
Zone: us-east1-c, GPU type: nvidia-tesla-k80, Number of GPUs: 2, Price per hour: $0.310
Zone: us-east1-c, GPU type: nvidia-tesla-k80, Number of GPUs: 4, Price per hour: $0.621
Zone: us-east1-c, GPU type: nvidia-tesla-k80, Number of GPUs: 8, Price per hour: $1.242
Zone: us-central1-c, GPU type: nvidia-tesla-v100, Number of GPUs: 1, Price per hour: $0.851
Zone: us-central1-c, GPU type: nvidia-tesla-v100, Number of GPUs: 2, Price per hour: $1.702
Zone: us-central1-c, GPU type: nvidia-tesla-v100, Number of GPUs: 4, Price per hour: $3.404
Zone: us-central1-c, GPU type: nvidia-tesla-v100, Number of GPUs: 8, Price per hour: $6.808
Zone: us-central1-c, GPU type: nvidia-tesla-p100, Number of GPUs: 1, Price per hour: $0.494
Zone: us-central1-c, GPU type: nvidia-tesla-p100, Number of GPUs: 2, Price per hour: $0.989
Zone: us-central1-c, GPU type: nvidia-tesla-p100, Number of GPUs: 4, Price per hour: $1.978
Zone: us-central1-c, GPU type: nvidia-tesla-k80, Number of GPUs: 1, Price per hour: $0.155
Zone: us-central1-c, GPU type: nvidia-tesla-k80, Number of GPUs: 2, Price per hour: $0.310
Zone: us-central1-c, GPU type: nvidia-tesla-k80, Number of GPUs: 4, Price per hour: $0.621
Zone: us-central1-c, GPU type: nvidia-tesla-k80, Number of GPUs: 8, Price per hour: $1.242
